lambda,dim,k1_effect_pct,u_scale,mu_val,k1_lambda
0.00215443469003188,1,7.16257643757252e-07,355.943424140837,0.1,1.09456316972482e-08
0.00215443469003188,2,3.585011087849e-06,57.6314640057967,0.1,1.09456316972482e-08
0.00464158883361278,1,7.13465853917334e-07,355.943424133653,0.1,1.09456316972482e-08
0.00464158883361278,2,3.58685126499593e-06,57.6309531017858,0.1,1.09456316972482e-08
0.01,1,7.07451123833715e-07,355.943424118175,0.1,1.09456316972482e-08
0.01,2,3.59081591441572e-06,57.6298523924614,0.1,1.09456316972482e-08
0.0215443469003188,1,6.95458637227804e-07,355.943424084829,0.1,1.09456316972482e-08
0.0215443469003188,2,3.59935801134424e-06,57.6274809861094,0.1,1.09456316972482e-08
0.0464158883361278,1,6.89753729670024e-07,355.943424012988,0.1,1.09456316972482e-08
0.0464158883361278,2,3.61776379064972e-06,57.6223719460004,0.1,1.09456316972482e-08
0.1,1,6.77462875702969e-07,355.943423858211,0.1,1.09456316972482e-08
0.1,2,3.6574289320191e-06,57.6113648527568,0.1,1.09456316972482e-08
0.215443469003188,1,6.50983034918721e-07,355.943423524754,0.1,1.09456316972482e-08
0.215443469003188,2,3.74293641443871e-06,57.5876507892364,0.1,1.09456316972482e-08
0.464158883361278,1,9.06962239462671e-07,355.943422806343,0.1,1.09456316972482e-08
0.464158883361278,2,3.92739620711231e-06,57.5365603881465,0.1,1.09456316972482e-08
1,1,1.65679520082657e-06,355.943421258573,0.1,1.09456316972482e-08
1,2,4.33452738190528e-06,57.4264894557108,0.1,1.09456316972482e-08
2.15443469003189,1,3.60733309060239e-06,355.943417924004,0.1,1.09456316972482e-08
2.15443469003189,2,5.87171422824854e-06,57.1893488205071,0.1,1.09456316972482e-08
4.64158883361277,1,8.36529016938396e-06,355.943410739893,0.1,1.09456316972482e-08
4.64158883361277,2,1.01054741172119e-05,56.678444809608,0.1,1.09456316972482e-08
10,1,1.86159985993635e-05,355.943395262194,0.1,1.09456316972482e-08
10,2,1.94913295854732e-05,55.5777354852507,0.1,1.09456316972482e-08
21.5443469003189,1,4.07004834926316e-05,355.943361916503,0.1,1.09456316972482e-08
21.5443469003189,2,4.10321293777139e-05,53.2063291332136,0.1,1.09456316972482e-08
46.4158883361277,1,8.82800779124781e-05,355.94329007539,0.1,1.09456316972482e-08
46.4158883361277,2,8.2639796666475e-05,55.0920937310282,0.1,1.09456316972482e-08
100,1,0.000190787271956137,355.943135298404,0.1,1.09456316972482e-08
100,2,0.000117958082900313,81.8766566597616,0.1,1.09456316972482e-08
215.443469003189,1,0.000411632629666341,355.942801841495,0.1,1.09456316972482e-08
215.443469003189,2,0.000147990621468257,139.582248190767,0.1,1.09456316972482e-08
464.158883361277,1,0.000887430935481014,355.942083430363,0.1,1.09456316972482e-08
464.158883361277,2,0.0001680647901282,263.905176393974,0.1,1.09456316972482e-08
1000,1,0.00191251383743754,355.940535660498,0.1,1.09456316972482e-08
1000,2,0.000179417327350302,531.750805681308,0.1,1.09456316972482e-08
