success,outcome,time_to_target,sim_duration,control_effort,min_safety_margin,n_infeasible,n_steps,mean_step_ms,total_solve_ms,dt_mpc,N_hor,T_hor_actual,method,cand_id,N_CANDIDATES,seed,u1_max,u2_max
True,REACHED,0.6000000000000002,0.6000000000000002,18.458158442336774,5.117366457125386,0,24,110.33058508352649,2647.9340420046356,0.025,50,1.25,Vanilla MPC,64,300,42,7.7,5.1
True,REACHED,1.3249999999999993,1.3249999999999993,52.99278055015507,1.8729359713459336e-06,0,53,115.4294803580445,6117.762458976358,0.025,50,1.25,Vanilla MPC,65,300,42,7.7,5.1
True,REACHED,0.8250000000000004,0.8250000000000004,24.900015997135934,8.913511312106976e-05,0,33,124.580865000043,4111.168545001419,0.025,50,1.25,Vanilla MPC,66,300,42,7.7,5.1
True,REACHED,1.3249999999999993,1.3249999999999993,51.37808795847155,1.0458153375908117e-06,0,53,128.99696226352563,6836.838999966858,0.025,50,1.25,Vanilla MPC,67,300,42,7.7,5.1
True,REACHED,1.3749999999999991,1.3749999999999991,55.24821400528155,3.4153013126051058e-06,0,55,121.4828129275702,6681.554711016361,0.025,50,1.25,Vanilla MPC,68,300,42,7.7,5.1
True,REACHED,0.5750000000000002,0.5750000000000002,17.597395445086107,3.975697895928664e-06,0,23,132.9415724789926,3057.6561670168303,0.025,50,1.25,Vanilla MPC,69,300,42,7.7,5.1
True,REACHED,0.7750000000000004,0.7750000000000004,12.88297833160462,2.3622808470737252e-06,0,31,119.1583561965437,3693.909042092855,0.025,50,1.25,Vanilla MPC,70,300,42,7.7,5.1
True,REACHED,1.3249999999999993,1.3249999999999993,37.396208812000786,8.001643494902377e-07,0,53,127.46312734116316,6755.545749081648,0.025,50,1.25,Vanilla MPC,71,300,42,7.7,5.1
True,REACHED,0.8000000000000004,0.8000000000000004,27.727913804305945,2.636402237207927e-07,0,32,111.61176046834952,3571.576334987185,0.025,50,1.25,Vanilla MPC,72,300,42,7.7,5.1
True,REACHED,0.3,0.3,5.095625770748708,1.5895489054684828,0,12,110.3722013346366,1324.466416015639,0.025,50,1.25,Vanilla MPC,73,300,42,7.7,5.1
False,INFEASIBLE_STEP1,,0.0,0.0,4.344789744581988,1,0,1442.528500003391,1442.528500003391,0.025,50,1.25,Vanilla MPC,74,300,42,7.7,5.1
False,INFEASIBLE_STEP1,,0.0,0.0,6.522670699606722,1,0,733.2099159975769,733.2099159975769,0.025,50,1.25,Vanilla MPC,75,300,42,7.7,5.1
True,REACHED,0.6250000000000002,0.6250000000000002,15.428055529459916,2.4311642903761213,0,25,102.95166004041675,2573.791501010419,0.025,50,1.25,Vanilla MPC,76,300,42,7.7,5.1
True,REACHED,1.2999999999999994,1.2999999999999994,36.47535575973595,3.012783566048231e-06,0,52,109.1871707302254,5677.732877971721,0.025,50,1.25,Vanilla MPC,77,300,42,7.7,5.1
True,REACHED,1.3249999999999993,1.3249999999999993,36.83910863338846,1.060672630490078e-06,0,53,116.50266350995976,6174.641166027868,0.025,50,1.25,Vanilla MPC,78,300,42,7.7,5.1
True,REACHED,0.5500000000000002,0.5500000000000002,16.965009498504962,3.216592816234689,0,22,126.41227654570352,2781.070084005478,0.025,50,1.25,Vanilla MPC,79,300,42,7.7,5.1
True,REACHED,1.2999999999999994,1.2999999999999994,48.41087142802835,2.915538588541852e-06,0,52,127.2374968069086,6616.349833959248,0.025,50,1.25,Vanilla MPC,80,300,42,7.7,5.1
True,REACHED,0.7500000000000003,0.7500000000000003,17.20563297610526,2.4626576584601787e-06,0,30,100.10016930076138,3003.0050790228415,0.025,50,1.25,Vanilla MPC,81,300,42,7.7,5.1
True,REACHED,1.2499999999999996,1.2499999999999996,36.9610378766714,1.4288343112326571e-06,0,50,133.87399331957567,6693.699665978784,0.025,50,1.25,Vanilla MPC,82,300,42,7.7,5.1
True,REACHED,0.8000000000000004,0.8000000000000004,31.011523221745755,2.1020032052767113e-06,0,32,120.2615871566195,3848.370789011824,0.025,50,1.25,Vanilla MPC,83,300,42,7.7,5.1
True,REACHED,0.2749999999999999,0.2749999999999999,6.41351442690304,5.212609459165215,0,11,121.48942045248326,1336.3836249773158,0.025,50,1.25,Vanilla MPC,84,300,42,7.7,5.1
False,INFEASIBLE_STEP1,,0.0,0.0,8.496681644949996,1,0,532.1877089882037,532.1877089882037,0.025,50,1.25,Vanilla MPC,85,300,42,7.7,5.1
