sample_idx,x1,x2,x3,x4,x5,slack1,slack2
41,-1.16056503543681,2.50253323576692,0.275315753880376,-0.109437897572968,1.34196820033011,3.23173605093263e-07,3.11459362774615e-07
42,-1.27983382474272,2.71268605232612,-0.232333240230557,-0.232248334460458,1.4328522275834,3.38675671798674e-07,2.66818203247239e-07
43,-2.5798067575612,2.75395324789479,-0.170457866476118,-0.252124427676049,0.174146490333589,2.69518784757687e-07,3.87122641160475e-07
44,-0.94169076952095,2.52236361370327,0.489333286828275,0.352736745731932,1.58067284418232,2.77557735488352e-07,2.31950496501685e-07
45,-2.17463615604013,2.69866970373507,0.15577730178418,-0.34145846440839,0.524033547694942,2.4912255434588e-07,2.59188486329253e-07
46,-1.73530510464831,2.64661696817117,-0.469602585188474,-0.162098574224937,0.911311863522862,3.00855284237001e-07,3.55650916287556e-07
47,-1.41864772318735,2.80584303990025,0.442772001105277,0.403013039168092,1.3871953167129,147.223046768628,2.29320892126093e-07
48,-1.69674525253665,2.6162596650048,0.109693569374039,-0.461868385908527,0.919514412468156,2.87594254439086e-07,3.11107027871818e-07
49,-0.826073345396043,2.44293079487156,0.0102159340784042,0.0550852504728198,1.61685744947552,3.0083786590398e-07,1.91757655044397e-07
50,-1.99731204156039,2.71640577854066,-0.0574109766755413,-0.302419055649523,0.719093736980274,2.24728936279235e-07,2.12404857489727e-07
51,-1.40223230538363,2.70184850425875,0.251148367822583,-0.150672964024089,1.29961619887512,3.84831290588963e-07,2.38142287965598e-07
52,-1.44670585788884,2.47705707370837,-0.427237623760373,0.208151687740601,1.03035121581952,2.75866045982896e-07,2.84925221233345e-07
53,-1.15512526002475,2.81203537140393,0.204085668642335,0.16994918100308,1.65691011137918,1.6423753217495e-07,3.64496328332754e-07
54,-1.61174826518325,2.7926953957528,0.209323852775967,0.219689596045355,1.18094713056956,293.241417605676,0
55,-1.68422606723093,2.54094503983765,-0.391028370696084,0.198598286727039,0.856718972606728,2.21102736523051e-07,1.30289657531408e-07
56,-0.911085080683534,2.35133727350482,0.305636925274918,0.463393378369849,1.44025219282129,728.357685644652,1.57845603562765e-07
57,-1.67313633441981,2.68037998581984,-0.466606795134143,-0.298815857833348,1.00724365140003,3.33311155672059e-07,3.17595268007852e-07
58,-1.2369810213246,2.49846487692176,0.080418165780147,-0.479232113289609,1.26148385559716,1.57662554527587e-07,3.29832018561046e-07
