success,outcome,time_to_target,sim_duration,control_effort,min_safety_margin,n_infeasible,n_steps,mean_step_ms,total_solve_ms,dt_mpc,N_hor,T_hor_actual,method,cand_id,N_CANDIDATES,seed,u1_max,u2_max
True,REACHED,0.29000000000000015,0.29000000000000015,18789.234047186845,2.1304213753126078e-06,0,58,309.96902222400894,17978.203288992518,0.005,40,0.2,Vanilla MPC,39,150,42,679.2,500.1
True,REACHED,0.28000000000000014,0.28000000000000014,10917.177734086375,1.3143457646691559e-06,0,56,300.8919463757463,16849.948997041793,0.005,40,0.2,Vanilla MPC,40,150,42,679.2,500.1
True,REACHED,0.30000000000000016,0.30000000000000016,21785.457903438913,2.6464543516624417e-06,0,60,309.9631340167737,18597.788041006424,0.005,40,0.2,Vanilla MPC,41,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,6.4023864573850675,1,0,3253.7053749983897,3253.7053749983897,0.005,40,0.2,Vanilla MPC,42,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,7.793851896772557,1,0,5629.212041996652,5629.212041996652,0.005,40,0.2,Vanilla MPC,43,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,8.907282684096504,1,0,4508.236249996116,4508.236249996116,0.005,40,0.2,Vanilla MPC,44,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,4.861647865421469,1,0,7982.347790995846,7982.347790995846,0.005,40,0.2,Vanilla MPC,45,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,8.285901132185032,1,0,3638.0092920007883,3638.0092920007883,0.005,40,0.2,Vanilla MPC,46,150,42,679.2,500.1
True,REACHED,0.30500000000000016,0.30500000000000016,25457.577181816665,0.0052600165480587435,0,61,283.91990501488004,17319.11420590768,0.005,40,0.2,Vanilla MPC,47,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,2.461849058743562,1,0,6789.316916998359,6789.316916998359,0.005,40,0.2,Vanilla MPC,48,150,42,679.2,500.1
True,REACHED,0.29500000000000015,0.29500000000000015,21233.66808357361,5.719488722633059e-06,0,59,274.0471920003953,16168.784328023321,0.005,40,0.2,Vanilla MPC,49,150,42,679.2,500.1
True,REACHED,0.28000000000000014,0.28000000000000014,12539.449938408297,2.421195924640074e-06,0,56,262.05630280388243,14675.152957017417,0.005,40,0.2,Vanilla MPC,50,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,7.284807420628884,1,0,2456.247790993075,2456.247790993075,0.005,40,0.2,Vanilla MPC,51,150,42,679.2,500.1
True,REACHED,0.29500000000000015,0.29500000000000015,19156.0455335606,1.0895368784957782e-06,0,59,275.29046396597613,16242.137373992591,0.005,40,0.2,Vanilla MPC,52,150,42,679.2,500.1
True,REACHED,0.30000000000000016,0.30000000000000016,23358.736591668436,0.000915561749271987,0,60,298.56985356770264,17914.191214062157,0.005,40,0.2,Vanilla MPC,53,150,42,679.2,500.1
True,REACHED,0.31000000000000016,0.31000000000000016,31037.37128293396,0.04707538243936504,0,62,283.66411688611765,17587.175246939296,0.005,40,0.2,Vanilla MPC,54,150,42,679.2,500.1
True,REACHED,0.2550000000000001,0.2550000000000001,5574.206104260508,1.062043301303106e-06,0,51,295.45795598110715,15068.355755036464,0.005,40,0.2,Vanilla MPC,55,150,42,679.2,500.1
True,REACHED,0.19000000000000009,0.19000000000000009,2438.7787821539664,7.527185691756472,0,38,243.1748629984979,9240.64479394292,0.005,40,0.2,Vanilla MPC,56,150,42,679.2,500.1
True,REACHED,0.31000000000000016,0.31000000000000016,31038.478259390162,0.048487549133987784,0,62,305.60465183882644,18947.48841400724,0.005,40,0.2,Vanilla MPC,57,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,1.1647065787335578,1,0,5518.375375002506,5518.375375002506,0.005,40,0.2,Vanilla MPC,58,150,42,679.2,500.1
True,REACHED,0.09500000000000001,0.09500000000000001,974.7824393470664,7.119835213414518,0,19,235.75010747222942,4479.252041972359,0.005,40,0.2,Vanilla MPC,59,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,8.810351245553678,1,0,2766.1412080051377,2766.1412080051377,0.005,40,0.2,Vanilla MPC,60,150,42,679.2,500.1
True,REACHED,0.30000000000000016,0.30000000000000016,22690.863707896064,0.0005937264200692738,0,60,350.54928958343226,21032.957375005935,0.005,40,0.2,Vanilla MPC,61,150,42,679.2,500.1
False,INFEASIBLE_STEP1,,0.0,0.0,3.8581685277299567,1,0,2944.272959008231,2944.272959008231,0.005,40,0.2,Vanilla MPC,62,150,42,679.2,500.1
